Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
ALTUS_AFB|HANGAR_97,ALTUS_AFB,Hangar 97,,97 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,,Mr. Marlin Carter,FALSE,2,Mission Feeding QRG,,,TRUE
ANDERSEN_AB|DFAC,ANDERSEN_AB,DFAC,,36 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Pacific Unlimited,,TSgt Amy Sherwood,TRUE,3,Mission Feeding QRG,,,TRUE
ANDERSEN_AB|SILVER_FLAG,ANDERSEN_AB,Silver Flag,SILVER FLAG,36 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Pacific Unlimited,,TSgt Amy Sherwood,TRUE,6,Mission Feeding QRG,,,TRUE
AVIANO_AB|DFAC,AVIANO_AB,DFAC,,31 FSS,,Legacy/APF,Legacy - LN,Full Service,Ebrex,Offline (2),TSgt Brent Smith,TRUE,9,Mission Feeding QRG,,,TRUE
BARKSDALE_AFB|RED_RIVER_INN,BARKSDALE_AFB,Red River Inn,,2 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Merchants,,Mr. Marlin Carter,FALSE,10,Mission Feeding QRG,,,TRUE
BEALE_AFB|CONTRAILS_DFAC,BEALE_AFB,Contrails DFAC,,9 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Randy Spaulding,FALSE,11,Mission Feeding QRG,,,TRUE
BEALE_AFB|DRAGONS_LAIR,BEALE_AFB,Dragons Lair,,9 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Randy Spaulding,FALSE,12,Mission Feeding QRG,,,TRUE
BUECHEL_AB|ODIN_INN,BUECHEL_AB,Odin Inn,,702 MUNS,,Legacy/APF,Legacy - LN - No ESM - No Dorms,Local National Support,TWI,1,TSgt Brent Smith,TRUE,13,Mission Feeding QRG,,,TRUE
CANNON_AFB|HIGH_PLAINS_CAF,CANNON_AFB,High Plains Café,,27 SOFSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,,Ms. Stephanie Contreras,FALSE,14,Mission Feeding QRG,,,TRUE
CANNON_AFB|PECOS_TRAIL_DFAC,CANNON_AFB,Pecos Trail DFAC,,27 SOFSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,,Ms. Stephanie Contreras,FALSE,16,Mission Feeding QRG,,,TRUE
JB_CHARLESTON|GAYLOR_DFAC,JB_CHARLESTON,Gaylor DFAC,,628 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Tyrone Merriweather,FALSE,18,Mission Feeding QRG,,,TRUE
CLEAR_SFS|DFAC,CLEAR_SFS,DFAC,,13 FSS,,Legacy/APF,Legacy - BOS - No ESM,Full Food Service,US Foods,,TSgt Amy Sherwood,TRUE,19,Mission Feeding QRG,,,TRUE
CREECH_AFB|DFAC,CREECH_AFB,DFAC,,432 FSS,,Legacy/APF,Legacy - BOS - No ESM,Full Food Service,US Foods,Hunters – 4,TSgt Annette Hartman,TRUE,20,Mission Feeding QRG,,,TRUE
DAVIS_MONTHAN_AFB|DFAC,DAVIS_MONTHAN_AFB,DFAC,AFSOUTH,355 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,,Mr. Adam Aguilar,FALSE,21,Mission Feeding QRG,,,TRUE
DOVER_AFB|PATTERSON_DFAC,DOVER_AFB,Patterson DFAC,,436 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Ms. Stephanie Thomas,FALSE,22,Mission Feeding QRG,,,TRUE
DOVER_AFB|HEAVY_LIFTERS_KIOSK,DOVER_AFB,Heavy Lifters KIOSK,,436 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Ms. Stephanie Thomas,FALSE,23,Mission Feeding QRG,,,TRUE
DYESS_AFB|LONGHORN_DFAC,DYESS_AFB,Longhorn DFAC,,7 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,,Mr. Marlin Carter,FALSE,24,Mission Feeding QRG,,,TRUE
EDWARDS_AFB|DFAC,EDWARDS_AFB,DFAC,,412 FSS,,Legacy/APF,Legacy - SB,Full Food Service,US Foods,Joshua Tree – N/A,TSgt Annette Hartman,TRUE,25,Mission Feeding QRG,,,TRUE
EGLIN_AFB|LIGHTNING,EGLIN_AFB,Lightning,,96 FSS,,Legacy/APF,Legacy - RSA,Mess Attendant,US Foods,Lightning – 3,TSgt Dante Tillman,TRUE,26,Mission Feeding QRG,,,TRUE
EGLIN_AFB|BREEZE_DFAC,EGLIN_AFB,Breeze DFAC,,96 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Ms. Stephanie Thomas,FALSE,27,Mission Feeding QRG,,,TRUE
EGLIN_AFB|DUKE_FIELD,EGLIN_AFB,Duke Field,,96 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Ms. Stephanie Thomas,FALSE,28,Mission Feeding QRG,,,TRUE
EIELSON_AFB|DFAC,EIELSON_AFB,DFAC,,354 FSS,,Legacy/APF,Food 2.0 - In Development,Mess Attendant,US Foods,6,TSgt Amy Sherwood,TRUE,29,Mission Feeding QRG,,,TRUE
ELLSWORTH_AFB|RAIDER_CAF,ELLSWORTH_AFB,Raider Café,,28 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Ms. Treva Sahadat,FALSE,31,Mission Feeding QRG,,,TRUE
JB_ELMENDORF|IDITAROD_DFAC,JB_ELMENDORF,Iditarod DFAC,,673 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Randy Spaulding,FALSE,32,Mission Feeding QRG,,,TRUE
FAIRCHILD_AFB|ROSS_DFAC,FAIRCHILD_AFB,Ross DFAC,,92 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,,Mr. Adam Aguilar,FALSE,33,Mission Feeding QRG,,,TRUE
FAIRCHILD_AFB|WARRIOR_DFAC,FAIRCHILD_AFB,Warrior DFAC,,92 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,,Mr. Adam Aguilar,FALSE,37,Mission Feeding QRG,,,TRUE
FE_WARREN_AFB|CHADWELL_DFAC,FE_WARREN_AFB,Chadwell DFAC,,90 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Shamrock,,Mr. Greg Featherstone,FALSE,41,Mission Feeding QRG,,,TRUE
FE_WARREN_AFB|MAFFO,FE_WARREN_AFB,MAFFO,MAFFO,90 FSS,,MAFFO/MAF,,Sodexo,Shamrock,,TSgt Marc Miller-Nelson,FALSE,43,Mission Feeding QRG,,,TRUE
FT_GREGG_ADAMS|SCHOOLHOUSE,FT_GREGG_ADAMS,Schoolhouse,,345 TRS,,Legacy/APF,,,US Foods,,TSgt Dante Tillman,TRUE,45,Mission Feeding QRG,,,TRUE
FT_MEADE|SIX_HATS,FT_MEADE,Six Hats,,707 FSS,,Legacy/APF,Legacy - AB1 (No NAFs),Full Food Service,US Foods,Six Hats – 3 (1 inop),MSgt Chermara Walley,TRUE,46,Mission Feeding QRG,,,TRUE
GHEDI_AB|DFAC,GHEDI_AB,DFAC,,704 MUNS,,Legacy/APF,Legacy - LN - No ESM - No Dorms,Local National Support,Ebrex,1,MSgt Chermara Walley,TRUE,47,Mission Feeding QRG,,,TRUE
GOODFELLOW_AFB|CRESSMAN_DFAC,GOODFELLOW_AFB,Cressman DFAC,,17 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,,Ms. Stephanie Contreras,FALSE,48,Mission Feeding QRG,,,TRUE
GOODFELLOW_AFB|WESTERN_WINDS_DFAC,GOODFELLOW_AFB,Western Winds DFAC,,17 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,Labatt,,Ms. Stephanie Contreras,FALSE,50,Mission Feeding QRG,,,TRUE
GRAND_FORKS_AFB|AIREY_DFAC,GRAND_FORKS_AFB,Airey DFAC,,319 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,US Foods,,Ms. Treva Sahadat,FALSE,52,Mission Feeding QRG,,,TRUE
JBP_HICKAM|HALE_AINA,JBP_HICKAM,Hale Aina,,647 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Y. Hata & Company,2 (1 inop),MSgt Kellie Jones,TRUE,53,Mission Feeding QRG,,,TRUE
HILL_AFB|HILL_CREST,HILL_AFB,Hill Crest,,75 FSS,,Legacy/APF,Legacy - BOS,Full Food Service,Sysco,Hillcrest – 4,TSgt Emilee Hinson,TRUE,54,Mission Feeding QRG,,,TRUE
