Facility_ID,Installation_ID,Facility_Name,Designation,Unit,Facility_Type,Operating_Model,Program_Type,Contract_Type,Primary_PV,POS_Terminals_Raw,POC_Display_Name,In_R1_Scope,Source_Row,Source_System,Facility_DODAAC,Contract_ID,Active_Flag
MISAWA_AB|GRISSOM,MISAWA_AB,Grissom,,35 FSS,,Legacy/APF,Legacy - LN (NonFood 2.0 Test),Mess Attendant,Coastal Pacific,3 (1 inop),MSgt Kellie Jones,TRUE,126,Mission Feeding QRG,,,TRUE
MOODY_AFB|GEORGIA_PINES,MOODY_AFB,Georgia Pines,,23 FSS,,Legacy/APF,Legacy - SB,Mess Attendant,Reinhardt,Georgia Pines – 2,MSgt Chermara Walley,TRUE,128,Mission Feeding QRG,,,TRUE
MORON_AB|EL_COMEDOR,MORON_AB,El Comedor,,496 FSS,,Legacy/APF,Legacy - BOS - No ESM,Full Food Service,Ebrex,,MSgt Chermara Walley,TRUE,129,Mission Feeding QRG,,,TRUE
MOUNTAIN_HOME_AFB|WAGON_WHEEL,MOUNTAIN_HOME_AFB,Wagon Wheel,,366 FSS,,Legacy/APF,Legacy - SB (NonFood 2.0 Test),Mess Attendant,Sysco,,TSgt Emilee Hinson,TRUE,130,Mission Feeding QRG,,,TRUE
NELLIS_AFB|CROSSWINDS_INN,NELLIS_AFB,Crosswinds Inn,,99 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Adam Aguilar,FALSE,131,Mission Feeding QRG,,,TRUE
NELLIS_AFB|TOUCH_GO,NELLIS_AFB,Touch & Go,,99 FSS,,Food 2.0,Food 2.0 - AB1,Sodexo,US Foods,,Mr. Adam Aguilar,FALSE,135,Mission Feeding QRG,,,TRUE
OFFUTT_AFB|KING_DINING_FACILITY,OFFUTT_AFB,King Dining Facility,,55 FSS,,Food 2.0,Food 2.0 - In Development,,US Foods,,Mr. Greg Featherstone,FALSE,139,Mission Feeding QRG,,,TRUE
OFFUTT_AFB|CAMPISI_ALERT_FACILITY,OFFUTT_AFB,Campisi Alert Facility,,55 FSS,,Food 2.0,Food 2.0 - In Development,,US Foods,,Mr. Greg Featherstone,FALSE,140,Mission Feeding QRG,,,TRUE
OSAN_AB|GINKGO_TREE,OSAN_AB,Ginkgo Tree,,51 FSS,,Legacy/APF,Legacy - LN,Mess Attendant,USFI,8 (1 inop),TSgt Annette Hartman,TRUE,141,Mission Feeding QRG,,,TRUE
OSAN_AB|PACIFIC_HOUSE,OSAN_AB,Pacific House,,51 FSS,,Legacy/APF,Legacy - LN,Mess Attendant,USFI,8 (1 inop),TSgt Annette Hartman,TRUE,144,Mission Feeding QRG,,,TRUE
PATRICK_SFB|RIVERSIDE_DFAC,PATRICK_SFB,Riverside DFAC,,45 FSS,,Food 2.0,Food 2.0 - AB1,Aramark,Sysco,,Ms. Stephanie Thomas,FALSE,147,Mission Feeding QRG,,,TRUE
RAF_LAKENHEATH|KNIGHTS_TABLE,RAF_LAKENHEATH,Knights Table,,48 FSS,,Legacy/APF,Legacy - LN,Local National Support,TWI,3,TSgt Dante Tillman,TRUE,148,Mission Feeding QRG,,,TRUE
RAMSTEIN_AB|RHEINLAND_INN,RAMSTEIN_AB,Rheinland Inn,,N/A,,Legacy/APF,Legacy - LN,Mess Attendant,TWI,8,MSgt Chermara Walley,TRUE,151,Mission Feeding QRG,,,TRUE
RAMSTEIN_AB|LINDBERGHOF,RAMSTEIN_AB,Lindberghof,,N/A,,Legacy/APF,Legacy - LN,Mess Attendant,TWI,8,MSgt Chermara Walley,TRUE,155,Mission Feeding QRG,,,TRUE
