Issue_ID,Issue_Type,Source_Row,Installation,Facility,Detail
DQ-0131,Missing feeding type,254,LAJES FIELD,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0132,Missing portfolio,255,LAUGHLIN AFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0133,Missing feeding type,255,LAUGHLIN AFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0134,Missing portfolio,256,LOS ANGELES AFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0135,Missing feeding type,256,LOS ANGELES AFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0136,Missing portfolio,257,NEW BOSTON SFS,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0137,Missing feeding type,257,NEW BOSTON SFS,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0138,Missing portfolio,258,RAF FYLINGDALES SFS,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0139,Missing feeding type,258,RAF FYLINGDALES SFS,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0140,Missing portfolio,259,RAF MOLESWORTH,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0141,Missing feeding type,259,RAF MOLESWORTH,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0142,Missing portfolio,260,VANCE AFB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0143,Missing feeding type,260,VANCE AFB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0144,Missing portfolio,261,PITUFFIK SB,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0145,Missing feeding type,261,PITUFFIK SB,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0146,Missing portfolio,262,JBAB - ANACOSTIA,NO DFAC,Portfolio blank. Left NULL — do not assign.
DQ-0147,Missing feeding type,262,JBAB - ANACOSTIA,NO DFAC,Cannot determine EOM applicability. No package generated.
DQ-0148,Split installation,0,EGLIN AFB,,"Source carries 2 installation strings for one base: ['EGLIN AFB', 'EGLIN AFB (2.0)']. Operating model belongs on the facility."
DQ-0149,Split installation,0,FE WARREN AFB,,"Source carries 2 installation strings for one base: ['FE WARREN AFB (2.0)', 'FE WARREN AFB (MAF)']. Operating model belongs on the facility."
DQ-0150,Split installation,0,MALMSTROM AFB,,"Source carries 2 installation strings for one base: ['MALMSTROM AFB (2.0)', 'MALMSTROM AFB (MAF)']. Operating model belongs on the facility."
DQ-0151,Split installation,0,MINOT AFB,,"Source carries 2 installation strings for one base: ['MINOT AFB (2.0)', 'MINOT AFB (MAF)']. Operating model belongs on the facility."
