INSTALLATION,LOCATION,FACILITY NAME,PORTFOLIO,MAJCOM,DESIGNATION,UNIT,POC,FEEDING TYPE,PROGRAM TYPE,CONTRACT TYPE,PRIMARY PV,POS TERMINALS
AL UDEID AB (AUAB),QATAR,Falcon,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL UDEID AB (AUAB),QATAR,Fox Sports,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL UDEID AB (AUAB),QATAR,Kasbah,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL UDEID AB (AUAB),QATAR,Pearl,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL UDEID AB (AUAB),QATAR,Quick Turn Cold Grab n Go,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL UDEID AB (AUAB),QATAR,Rations,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL UDEID AB (AUAB),QATAR,The Kitchen Hot Grab n Go,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
ALI AL SALEM AB (AASAB),KUWAIT,Drop Zone,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,Global Food,N/A
CAMP SIMBA,KENYA,N/A,PORTFOLIO 4,AFAFRICA,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,Valiant,N/A
MUWAFFAQ SALTI AB (MSAB),JORDAN,KSPAN,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,N/A,N/A
MUWAFFAQ SALTI AB (MSAB),JORDAN,RTV,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,N/A,N/A
PRINCE SULTAN AB (PSAB),SAUDI ARABIA,N/A,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,OFI(Ocean Fair),N/A
AL JABER AB,JORDAN,DFAC,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,Global Food,N/A
AL JABER AB,KUWAIT,DFAC,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,Global Food,N/A
AL JABER AB,KUWAIT,DFAC,PORTFOLIO 4,AFCENT,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,Global Food,N/A
AB101 NIAMEY,NIGER,DFAC,PORTFOLIO 4,AFAFRICA,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,N/A,N/A
AB101 NIAMEY,NIGER,DFAC,PORTFOLIO 4,AFAFRICA,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,N/A,N/A
AB201 AGADEZ,NIGER,DFAC,PORTFOLIO 4,AFAFRICA,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,TWI,N/A
AB201 AGADEZ,NIGER,DFAC,PORTFOLIO 4,AFAFRICA,COCOM HQ,N/A,MSgt Rodney Worthen,Deployed / Field Feeding,N/A,N/A,TWI,N/A
ARNOLD AFB,TENNESSEE (TN),NO DFAC,N/A,AFMC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOLLING AFB,MARYLAND (MD),NO DFAC,N/A,AFDW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BUCKLEY SFB,COLORADO (CO),NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAPE CANAVERAL SFS,FLORIDA (FL),NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAPE COD SFS,MASSACHUSETTS (MA),NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CAVALIER SFS,NORTH DAKOTA (ND),NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHEYENNE MOUNTAIN SFB,COLORADO (CO),NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COLUMBUS AFB,MISSISSIPPI (MS),NO DFAC,N/A,AETC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EARECKSON AFS,ALASKA (AK),NO DFAC,N/A,PACAF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HANSCOM AFB,MASSACHUSETTS (MA),NO DFAC,N/A,AFMC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IZMIR AB,TURKEY,NO DFAC,N/A,USAFE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LAJES FIELD,PORTUGAL,NO DFAC,N/A,USAFE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LAUGHLIN AFB,TEXAS (TX),NO DFAC,N/A,AETC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOS ANGELES AFB,CALIFORNIA (CA),NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NEW BOSTON SFS,NEW HAMPSHIRE (NH),NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RAF FYLINGDALES SFS,UNITED KINGDOM (UK),NO DFAC,N/A,USAFE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RAF MOLESWORTH,UNITED KINGDOM (UK),NO DFAC,N/A,USAFE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VANCE AFB,OKLAHOMA (OK),NO DFAC,N/A,AETC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PITUFFIK SB,GREENLAND,NO DFAC,N/A,USSF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JBAB - ANACOSTIA,DISTRICT OF COLUMBIA (DC),NO DFAC,N/A,AFDW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
